자치구명,시설 구분,주소,시설형태
광진구,보건복지행정타운,서울 광진구 용마산로 127,완전개방
광진구,테크노마트23,광나루로56길  85(구의동)(지하1~지상11),완전개방
광진구,테크노마트22,광나루로56길  85(구의동)(지하1~지상10),완전개방
광진구,테크노마트21,광나루로56길  85(구의동)(지하1~지상9),완전개방
광진구,송림식당,"서울특별시 광진구 자양번영로 77 (자양동,,137,138,139,141)",완전개방형
광진구,중일가든,서울특별시 광진구 아차산로76가길 4 (광장동),완전개방형
광진구,신선설농탕,"서울특별시 광진구 천호대로 813 (광장동,7,8,9 호 1F)",완전개방형
광진구,백년회관서서갈비아차산점,"서울특별시 광진구 천호대로 659, 2층 (구의동)",완전개방형
광진구,짬뽕지존 아차산점,서울특별시 광진구 천호대로 682 (구의동),완전개방형
광진구,마당족발,광진구 능동로 173,완전개방형
광진구,명륜진사갈비중곡점,"서울특별시 광진구 용마산로 110, 토끼빌딩 1층 (중곡동)",완전개방형
광진구,망향비빔국수,"서울특별시 광진구 천호대로 694 (구의동,(1층))",완전개방형
광진구,삼일민물장어,"서울특별시 광진구 천호대로 685, 1,2층 (구의동)",완전개방형
광진구,아차산할아버지손두부,"서울특별시 광진구 자양로 324, 약수목욕탕 1층 (구의동)",완전개방형
광진구,퀸당구장,서울특별시 광진구 아차산로 610 (광장동),완전개방형
광진구,필 빌리어드 클럽,"서울특별시 광진구 용마산로 16, 창성빌딩 4층 (중곡동)",완전개방형
광진구,더이퀼리브리엄커피,"서울특별시 광진구 아차산로30길 7, 3층 (자양동)",완전개방형
광진구,명륜진사갈비아차산역점,"서울특별시 광진구 능동로36길 187, 공원갈비 1~2층 (능동)",완전개방형
광진구,제주탐하리,"서울특별시 광진구 천호대로101길 11 (중곡동,(1층))",완전개방형
광진구,허니룸 건대,"서울특별시 광진구 아차산로29길 7, 3,4층 (화양동)",완전개방형
광진구,현 당구클럽,"서울특별시 광진구 용마산로 28, 2층 (중곡동)",완전개방형
광진구,프라임당구클럽,"서울특별시 광진구 천호대로 677 (구의동, 세진빌딩)",완전폐쇄형
광진구,Y·N 스크린골프클럽,"서울특별시 광진구 아차산로 444, 지하1층 (구의동)",완전폐쇄형
광진구,골프앤,"서울특별시 광진구 구의강변로 45, 4층 (구의동, 구의동 복합빌딩)",완전폐쇄형
광진구,쉐르빌골프존,"서울특별시 광진구 구의강변로 106, 101동 지층 115-118호 (구의동, 구의동삼성쉐르빌)",완전폐쇄형
광진구,자양CAROM,"서울특별시 광진구 자양로 88, 광영빌딩 6층 (자양동)",완전폐쇄형
광진구,테크노당구장,"서울특별시 광진구 광나루로56길 63 (구의동, 지하1층 101호,102호,103호)",완전폐쇄형
광진구,로얄당구장,"서울특별시 광진구 구의강변로 35, 삼진빌딩 지하1층 (구의동)",완전폐쇄형
광진구,플러스 당구 클럽,"서울특별시 광진구 아차산로 473, 5층 (구의동)",완전폐쇄형
광진구,Carom Cafe,"서울특별시 광진구 아차산로 444, 지층 103호 (구의동, 와이엔 오피스텔)",완전폐쇄형
광진구,이큐당구클럽,"서울특별시 광진구 능동로 91, 지층 (자양동)",완전폐쇄형
광진구,일번지 당구장,"서울특별시 광진구 구의로 70 (구의동, 영덕빌딩 2층 201호)",완전폐쇄형
광진구,별당구클럽,서울특별시 광진구 자양로13길 73-1 (자양동),완전폐쇄형
광진구,강변 당구장,"서울특별시 광진구 강변역로4길 10, 강변역지너스타워 지하1층 9,10호 (구의동)",완전폐쇄형
광진구,나인 당구장,"서울특별시 광진구 면목로 191, 2층 (중곡동)",완전폐쇄형
광진구,닉스당구장,"서울특별시 광진구 뚝섬로 621, 3층 (자양동)",완전폐쇄형
광진구,미소당구장,서울특별시 광진구 뚝섬로 627 (자양동),완전폐쇄형
광진구,공감 당구장,서울특별시 광진구 아차산로 291 (자양동),완전폐쇄형
광진구,스포츠 당구장,"서울특별시 광진구 아차산로 358, 지하1층 (자양동)",완전폐쇄형
광진구,우리 당구장,"서울특별시 광진구 자양로11길 12, 지층 (자양동)",완전폐쇄형
광진구,아차산스크린(스크린 5타석),"서울특별시 광진구 천호대로 676, 지하1층 (구의동)",완전폐쇄형
광진구,조이클럽,"서울특별시 광진구 자양로15길 46, 지층 (자양동)",완전폐쇄형
광진구,행운 당구장,"서울특별시 광진구 자양로13길 48, 지하층 (자양동)",완전폐쇄형
광진구,웰플러스 짐 골프연습장,"서울특별시 광진구 자양로5길 33, 지하1층 (자양동, 와이엠프라젠스파)",완전폐쇄형
광진구,코알라당구장,"서울특별시 광진구 뚝섬로 498 (자양동, 서울클리닉빌딩)",완전폐쇄형
광진구,마스터스골프클럽(19타석),"서울특별시 광진구 능동로 49, 지층 (자양동, 영지빌딩)",완전폐쇄형
광진구,석고당구장,서울특별시 광진구 동일로 88 (자양동),완전폐쇄형
광진구,서광당구장,"서울특별시 광진구 뚝섬로 486, 2층 (자양동)",완전폐쇄형
광진구,한성 당구장,"서울특별시 광진구 뚝섬로 476, 2층 (자양동)",완전폐쇄형
광진구,아리랑 당구장,"서울특별시 광진구 동일로 78, 지하1층 (자양동)",완전폐쇄형
광진구,라운지당구장,"서울특별시 광진구 아차산로 236, 지하1층 (자양동)",완전폐쇄형
광진구,제다이 당구장,"서울특별시 광진구 아차산로51길 77, 지하1층 (구의동)",완전폐쇄형
