자치구명,위반장소,위반일시
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 청사,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 휴게음식점,2022
강남구, 휴게음식점,2022
강남구, 건물,2022
강남구, 삼성동 천마빌딩,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 강남대로(미진프라자),2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 건물,2022
강남구, 지하철역,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스),2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 강남대로 미진플라자 부근,2022
강남구, 영동대로,2022
강남구, 도곡동금연거리,2022
강남구, 도곡동금연거리,2022
강남구, 도곡동금연거리,2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, PC방,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 휴게음식점,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 도곡동금연거리,2022
강남구, 건물,2022
