시군구명,금연구역명,금연구역범위상세,금연구역구분,금연구역지정근거명,소재지도로명주소,소재지지번주소,관리기관명,위도,경도
은평구,GS25 대조초롱점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 통일로65길 13-18 (대조동, 1층)",서울특별시 은평구 대조동 15-119 1층,서울특별시 은평구청,37.6087903364,126.9287383504
은평구,GS25 응암가온점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 가좌로7다길 2, 1층 (응암동)",서울특별시 은평구 응암동 696-50 1층,서울특별시 은평구청,37.585788361,126.9181294489
은평구,베르타 플라워&amp;amp;카페,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 진흥로1길 4-1 (역촌동, 지층)",서울특별시 은평구 역촌동 42-12 지층,서울특별시 은평구청,37.6008211821,126.9189798464
은평구,토프레소 구산점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 갈현로11길 22, 지층 (구산동)",서울특별시 은평구 구산동 191-17 지층,서울특별시 은평구청,37.6052820315,126.9080987085
은평구,모퉁2,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 가좌로 275-1, 1층 (신사동)",서울특별시 은평구 신사동 335-36 1층,서울특별시 은평구청,37.5930588782,126.9131575834
은평구,트루비 커피숍,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 진흥로 184, 1층 (녹번동)",서울특별시 은평구 녹번동 118-47 1층,서울특별시 은평구청,37.6082230225,126.9298563616
은평구,세븐일레븐 은평푸르지오,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 진관4로 87 (진관동, 은평뉴타운상림마을 629동상가117호)",서울특별시 은평구 진관동 5 은평뉴타운상림마을 629동상가 117호,서울특별시 은평구청,37.6478419819,126.9296650127
은평구,투썸플레이스 은평구청점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 은평로 194, 1층 103호 (응암동, 더위일)",서울특별시 은평구 응암동 81-173 103호,서울특별시 은평구청,37.6011896243,126.9292517952
은평구,Mega PC방,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 은평로 6, 신수빌딩 3층 (신사동)",서울특별시 은평구 신사동 29-122 신수빌딩3층,서울특별시 은평구청,37.5966050275,126.9097122315
은평구,날쌘카페 상암DMC점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 증산로3길 8-25, 1층 101호 (증산동, 미라벨)",서울특별시 은평구 증산동 176-1 미라벨 1층 101호호,서울특별시 은평구청,37.5817706753,126.9061740106
